ga,min_adapt,adaptive_xy_yx,valiant
"[inf, inf, inf, inf, inf, inf]","[19.796, 20.6639, 21.2, 21.2839, 21.4784, 21.8777]","[19.9664, 20.3423, 21.0311, 20.6716, 20.592, 21.0032]","[30.3117, 30.3008, 31.3959, 31.4164, 32.1664, 32.9599]"
"[inf, inf, inf, inf, inf, inf]","[26.2627, 26.5602, 26.9257, 27.3185, 27.5664, 27.9942]","[26.2943, 26.5124, 26.5649, 26.9555, 26.9784, 27.5586]","[30.4304, 30.5622, 31.1797, 31.6034, 31.6024, 32.4537]"
"[inf, inf, inf, inf, inf, inf]","[20.2444, 20.8651, 20.5203, 20.4876, 20.6688, 21.1353]","[20.222, 20.6929, 20.1459, 20.0742, 19.9984, 20.3282]","[30.7422, 30.1203, 31.1919, 31.361, 31.6544, 32.6369]"
"[inf, inf, inf, inf, inf, inf]","[18.0, 18.4253, 18.3149, 18.458, 18.424, 18.4511]","[18.0045, 18.4419, 18.2959, 18.3709, 18.3352, 18.3366]","[30.9177, 30.0456, 31.1, 31.6963, 31.5552, 33.0227]"
"[20.5064, 20.7905, 21.0405, 21.3986, 21.436, 21.7294]","[18.0605, 18.1618, 18.2419, 18.4125, 18.4816, 18.7275]","[18.065, 18.112, 18.1919, 18.3462, 18.3368, 18.5838]","[31.0135, 30.0975, 31.2662, 31.6855, 31.8152, 32.3851]"
"[13.796, 13.749, 14.3264, 13.7745, 14.176, 14.2239]","[12.8228, 12.5768, 12.8946, 12.819, 12.8656, 12.8673]","[12.8608, 12.6992, 12.7129, 12.8239, 12.652, 12.8492]","[30.8991, 30.4668, 31.2378, 31.0336, 31.6968, 32.7398]"
"[inf, inf, inf, inf, inf, inf]","[14.2025, 14.1867, 14.2973, 14.3482, 14.4336, 14.7748]","[13.9395, 14.1411, 14.2743, 14.3264, 14.4536, 14.5761]","[31.0897, 30.2946, 31.5703, 31.4322, 31.7432, 32.7392]"
"[21.1188, 21.7739, 21.4189, 21.3195, 21.432, 21.7748]","[20.3072, 20.9627, 20.6554, 20.5964, 20.7648, 21.5871]","[20.2422, 20.7469, 20.2595, 20.1296, 20.1656, 20.499]","[30.9305, 29.6411, 31.2757, 31.4708, 31.6552, 32.7314]"
"[inf, inf, inf, inf, inf, inf]","[19.796, 20.6639, 21.2, 21.2839, 21.4784, 21.8777]","[19.9664, 20.3423, 21.0311, 20.6716, 20.592, 21.0032]","[30.3117, 30.3008, 31.3959, 31.4164, 32.1664, 32.9599]"
"[inf, inf, inf, inf, inf, inf]","[22.2468, 22.3589, 22.3284, 22.2839, 22.2104, 22.2777]","[22.2848, 22.5145, 22.4432, 22.4085, 22.524, 22.7379]","[30.8587, 30.1432, 31.3892, 31.5292, 31.7448, 32.2926]"
"[inf, inf, inf, inf, inf, inf]","[22.2468, 22.3589, 22.3284, 22.2839, 22.2104, 22.2777]","[22.2848, 22.5145, 22.4432, 22.4085, 22.524, 22.7379]","[30.8587, 30.1432, 31.3892, 31.5292, 31.7448, 32.2926]"
